video,prompt,vace_reference_image,poses,depth,original_pose_height,original_pose_width
AncientRuins/AncientRuins_ep0_2025-11-17-21-33-18/rgb.mp4,"An ancient stone ruin with arches and columns stands amidst lush greenery and wildflowers, set against a backdrop of misty mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep0_2025-11-17-21-33-18/rgb.mp4,AncientRuins/AncientRuins_ep0_2025-11-17-21-33-18/pose.json,AncientRuins/AncientRuins_ep0_2025-11-17-21-33-18/depth.mp4,480,832
AncientRuins/AncientRuins_ep10_2025-11-17-22-03-24/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep10_2025-11-17-22-03-24/rgb.mp4,AncientRuins/AncientRuins_ep10_2025-11-17-22-03-24/pose.json,AncientRuins/AncientRuins_ep10_2025-11-17-22-03-24/depth.mp4,480,832
AncientRuins/AncientRuins_ep11_2025-11-17-22-06-12/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and purple flowers, set against a backdrop of majestic mountains under a partly cloudy sky, creating a serene and historical atmosphere.",AncientRuins/AncientRuins_ep11_2025-11-17-22-06-12/rgb.mp4,AncientRuins/AncientRuins_ep11_2025-11-17-22-06-12/pose.json,AncientRuins/AncientRuins_ep11_2025-11-17-22-06-12/depth.mp4,480,832
AncientRuins/AncientRuins_ep12_2025-11-17-22-09-01/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep12_2025-11-17-22-09-01/rgb.mp4,AncientRuins/AncientRuins_ep12_2025-11-17-22-09-01/pose.json,AncientRuins/AncientRuins_ep12_2025-11-17-22-09-01/depth.mp4,480,832
AncientRuins/AncientRuins_ep13_2025-11-17-22-11-52/rgb.mp4,Ancient stone ruins overgrown with wildflowers and greenery stand amidst a picturesque mountainous landscape under a dynamic sky filled with clouds.,AncientRuins/AncientRuins_ep13_2025-11-17-22-11-52/rgb.mp4,AncientRuins/AncientRuins_ep13_2025-11-17-22-11-52/pose.json,AncientRuins/AncientRuins_ep13_2025-11-17-22-11-52/depth.mp4,480,832
AncientRuins/AncientRuins_ep14_2025-11-17-22-14-43/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of history and natural beauty.",AncientRuins/AncientRuins_ep14_2025-11-17-22-14-43/rgb.mp4,AncientRuins/AncientRuins_ep14_2025-11-17-22-14-43/pose.json,AncientRuins/AncientRuins_ep14_2025-11-17-22-14-43/depth.mp4,480,832
AncientRuins/AncientRuins_ep15_2025-11-17-22-17-32/rgb.mp4,"Ancient stone ruins stand amidst lush greenery and wildflowers, with distant mountains under a dramatic sky, creating a serene yet mysterious landscape.",AncientRuins/AncientRuins_ep15_2025-11-17-22-17-32/rgb.mp4,AncientRuins/AncientRuins_ep15_2025-11-17-22-17-32/pose.json,AncientRuins/AncientRuins_ep15_2025-11-17-22-17-32/depth.mp4,480,832
AncientRuins/AncientRuins_ep16_2025-11-17-22-20-22/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep16_2025-11-17-22-20-22/rgb.mp4,AncientRuins/AncientRuins_ep16_2025-11-17-22-20-22/pose.json,AncientRuins/AncientRuins_ep16_2025-11-17-22-20-22/depth.mp4,480,832
AncientRuins/AncientRuins_ep17_2025-11-17-22-23-11/rgb.mp4,"A picturesque ancient ruin with stone arches and columns, overgrown with greenery and purple flowers, set against a backdrop of majestic mountains under a partly cloudy sky.",AncientRuins/AncientRuins_ep17_2025-11-17-22-23-11/rgb.mp4,AncientRuins/AncientRuins_ep17_2025-11-17-22-23-11/pose.json,AncientRuins/AncientRuins_ep17_2025-11-17-22-23-11/depth.mp4,480,832
AncientRuins/AncientRuins_ep18_2025-11-17-22-26-01/rgb.mp4,"An ancient stone ruin stands amidst lush greenery and wildflowers, with a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep18_2025-11-17-22-26-01/rgb.mp4,AncientRuins/AncientRuins_ep18_2025-11-17-22-26-01/pose.json,AncientRuins/AncientRuins_ep18_2025-11-17-22-26-01/depth.mp4,480,832
AncientRuins/AncientRuins_ep19_2025-11-17-22-28-51/rgb.mp4,"An ancient stone ruin nestled amidst lush greenery and wildflowers, with towering mountains in the background under a partly cloudy sky, creating a serene and mystical atmosphere.",AncientRuins/AncientRuins_ep19_2025-11-17-22-28-51/rgb.mp4,AncientRuins/AncientRuins_ep19_2025-11-17-22-28-51/pose.json,AncientRuins/AncientRuins_ep19_2025-11-17-22-28-51/depth.mp4,480,832
AncientRuins/AncientRuins_ep1_2025-11-17-21-37-16/rgb.mp4,"An ancient stone ruin surrounded by lush greenery and wildflowers, with a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep1_2025-11-17-21-37-16/rgb.mp4,AncientRuins/AncientRuins_ep1_2025-11-17-21-37-16/pose.json,AncientRuins/AncientRuins_ep1_2025-11-17-21-37-16/depth.mp4,480,832
AncientRuins/AncientRuins_ep20_2025-11-17-22-31-43/rgb.mp4,"An ancient stone ruin stands amidst lush greenery and wildflowers, with a majestic mountain range in the background under a partly cloudy sky, creating a serene and picturesque landscape.",AncientRuins/AncientRuins_ep20_2025-11-17-22-31-43/rgb.mp4,AncientRuins/AncientRuins_ep20_2025-11-17-22-31-43/pose.json,AncientRuins/AncientRuins_ep20_2025-11-17-22-31-43/depth.mp4,480,832
AncientRuins/AncientRuins_ep21_2025-11-17-22-34-34/rgb.mp4,"A lush, overgrown landscape with ancient stone ruins set against a backdrop of misty mountains under a dynamic sky filled with clouds. The camera pans through dense vegetation, revealing remnants of a once-grand structure amidst nature's reclaiming embrace.",AncientRuins/AncientRuins_ep21_2025-11-17-22-34-34/rgb.mp4,AncientRuins/AncientRuins_ep21_2025-11-17-22-34-34/pose.json,AncientRuins/AncientRuins_ep21_2025-11-17-22-34-34/depth.mp4,480,832
AncientRuins/AncientRuins_ep22_2025-11-17-22-37-26/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and purple flowers, set against a backdrop of misty mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep22_2025-11-17-22-37-26/rgb.mp4,AncientRuins/AncientRuins_ep22_2025-11-17-22-37-26/pose.json,AncientRuins/AncientRuins_ep22_2025-11-17-22-37-26/depth.mp4,480,832
AncientRuins/AncientRuins_ep23_2025-11-17-22-40-17/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of history and natural beauty.",AncientRuins/AncientRuins_ep23_2025-11-17-22-40-17/rgb.mp4,AncientRuins/AncientRuins_ep23_2025-11-17-22-40-17/pose.json,AncientRuins/AncientRuins_ep23_2025-11-17-22-40-17/depth.mp4,480,832
AncientRuins/AncientRuins_ep24_2025-11-17-22-43-03/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep24_2025-11-17-22-43-03/rgb.mp4,AncientRuins/AncientRuins_ep24_2025-11-17-22-43-03/pose.json,AncientRuins/AncientRuins_ep24_2025-11-17-22-43-03/depth.mp4,480,832
AncientRuins/AncientRuins_ep25_2025-11-17-22-45-54/rgb.mp4,"Ancient stone ruins with arches and columns stand amidst lush greenery and wildflowers, set against a backdrop of misty mountains under a partly cloudy sky, evoking a sense of historical mystery and natural beauty.",AncientRuins/AncientRuins_ep25_2025-11-17-22-45-54/rgb.mp4,AncientRuins/AncientRuins_ep25_2025-11-17-22-45-54/pose.json,AncientRuins/AncientRuins_ep25_2025-11-17-22-45-54/depth.mp4,480,832
AncientRuins/AncientRuins_ep26_2025-11-17-22-48-43/rgb.mp4,"Ancient stone ruins overgrown with wildflowers and greenery, set against a backdrop of rolling hills and a partly cloudy sky, evoking a sense of history and nature's reclaiming power.",AncientRuins/AncientRuins_ep26_2025-11-17-22-48-43/rgb.mp4,AncientRuins/AncientRuins_ep26_2025-11-17-22-48-43/pose.json,AncientRuins/AncientRuins_ep26_2025-11-17-22-48-43/depth.mp4,480,832
AncientRuins/AncientRuins_ep27_2025-11-17-22-51-35/rgb.mp4,"An ancient ruin with stone arches and columns stands amidst lush greenery and wildflowers, set against a backdrop of majestic mountains under a partly cloudy sky.",AncientRuins/AncientRuins_ep27_2025-11-17-22-51-35/rgb.mp4,AncientRuins/AncientRuins_ep27_2025-11-17-22-51-35/pose.json,AncientRuins/AncientRuins_ep27_2025-11-17-22-51-35/depth.mp4,480,832
